REF;ID Ticket AgID;Richiesta;Risposta;Note Integrative
1;n.a.;I servizi di monitoraggio descritti nel capitolo 9 delle ST, dove saranno esposti? e saranno disponibili anche per gli ET?;L'e-service per la consultazione dei dati di monitoraggio sarà esposto tramite PDND e sarà disponibile per il FO SUAP, il BO SUAP e per gli ET. La definizione di tale servizio, al fine di rendere più efficiente la sua gestione, è affidata al Fornitore del Catalogo SSU. L'attuale roadmap prevede la disponibilità della prima release entro dicembre 2024.;n.a.
2;n.a.;Come saranno identificabili i tipi di procedimento SUAP?;"Sarà presente un codice per capire quali procedimenti SUAP sono coinvolti. Saranno gli ET a caricare nel catalogo i procedimenti di loro competenza.
In Cruise, partendo dal nome, sarà possibile capire quali procedimenti sono di competenza da veterinaria e quali da prevenzione.";n.a.
3;n.a.;Casistiche in cui è applicato il silenzio assenso.;Tutti i processi hanno dei timer, se non si risponde nei tempi si applicherà il silenzio assenso;n.a.
4;n.a.;In un procedimento, nel primo step gli Enti Terzi inviano l'atto di ricevimento condizionato,  che viene notificato al presentatore di istanza. In secondo luogo, se tutto va bene, gli Enti Terzi inviano un secondo atto autorizzatorio definitivo, senza che il SUAP abbia espressamente chiesto loro qualcosa (nel mezzo di questo riconoscimento ci possono essere richieste di integrazione). Come viene gestita qyesta casistica nelle specifiche tecniche?;Questa fattispece non c'è nelle specifiche, perchè l'ultima azione è l'emissione della conclusione.;n.a.
5;n.a.;Una volta ottenuto il finanziamento, esiste un ambiente di test BBT intermedio da utilizzare durante gli sviluppi, prima di effettuare il test BBT finale?;Il fornitore del catalogo metterà a disposizione gli ambienti di test.;n.a.
6;n.a.;Quando sarà possibile l'avvio delle attività di test delle componenti?;Tutto deve essere funzionante entro 12 mesi dalla disponibilità del catalogo, e il catalogo sarà disponibile alla fine di luglio 2024.;n.a.
7;n.a.;Quali sono i tempi necessari all'abilitazione ai finanziamenti per gli ET?;Probabilmente si dovrà attendere il periodo Settembre/Ottobre 2024 (i finanziamenti sono a consuntivo);n.a.
8;n.a.;"Approfondimento su interfacce:
Servirebbe un approfondimento sulle interfacce descritte nel file https://github.com/AgID/specifiche-tecniche-DPR-160-2010/blob/main/openAPI/catalogo-ssu_meta.yaml, che espongono, tra gli altri, i metodi per recuperare i domini, gli elenchi di enti accreditati e gli schemi di validazione degli allegati, in particolare ci servirebbero degli esempi per questi scenari d’uso:
-	Recupero dei riferimenti dei backoffice SUAP
-	Recupero dell’elenco dei tipi di procedimento
-	Recupero dello schema xsd o dello schematron per la validazione del’mda di un allegato. A tal proposito sappiamo che l’onere della validazione (xsd e schematron) spetta al FO, ma vi chiediamo un parere anche rispetto all’implementazione di regole di chaching locale, dal momento che comunque utilizziamo gli schemi per recuperare i path relativi a dati di interesse. Es. la localizzazione. Ha senso implementare come ET anche i meccanismi di caching riportati del documento di architettura?";"1.	Recupero dei riferimenti dei backoffice SUAP
Al fine di recuperare i riferimenti dei Back-Office SUAP, associati alle istanze identificate univocamente dal cui, per prima cosa è necessario recuperare il riferimento del Comune, ovvero il suo Codice ISTAT a 6 cifre. Tale Codice ISTAT è identificato tramite l’attributo municipality presente nel relativo Instance Descriptor, recuperabile dal Catalogo SSU tramite il path catalogo-ssu_to_et/instance_descriptor/{cui_uuid}.
Una volta in possesso del riferimento comunale, è possibile invocare catalogo-ssu_meta/suaps-by-municipality/{municipality_list} per recuperare tutte le versioni dei componenti SUAP relativi al codice ISTAT del comune (municipality_list). Ottenuta la risposta, è necessario selezionare solamente la componente che ha lo state=Active. 
Si segnala che l’oggetto restituito in risposta a questa richiesta è soggetto ad un aggiornamento al fine di perfezionare la sua struttura, che verrà sostituita dall’attuale GenericEntity con una ComponentEntity. 
2.	Recupero dell’elenco dei tipi di procedimento
Al fine di recuperare l’elenco dei tipi di procedimento, è necessario recuperare il codice e la versione della singola fattispecie di procedimento (usecase_proceeding), selezionando quelli di proprio interesse, filtrando per l’attributo competent_administration che indica l’amministrazione responsabile. Il codice e la versione sono presenti nell’Instance Descriptor:
•	instance-descriptor-schema/usecase_proceedings[]/code
•	instance-descriptor-schema/usecase_proceedings[]/version
Una volta in possesso di queste informazioni, è possibile invocare il path catalogo-ssu_meta/usecase-proceedings/{usecase_proceedings_id}/{usecase_proceedings_version}/usecase-proceedings per recuperare l'anagrafica del procedimento.
3.	Recupero dello schema xsd o dello schematron per la validazione del’mda di un allegato
Al fine di recuperare i validatori dell’MDA di un allegato, è necessario, come indicato nel punto precedente, recuperare il code e la version degli usecase_proceedings di proprio interesse. 
Una volta in possesso di queste informazioni, si può procedere col recupero dei riferimenti del procedimento, proceeding_id e proceeding_version,  mediante l’invocazione del seguente path catalogo-ssu_meta/usecase-proceedings/{usecase_proceedings_id}/{usecase_proceedings_version}/usecase-proceedings. L’identificativo del procedimento e la sua versione possono essere utilizzati nella successiva richiesta, che verrà utilizzata per recuperare i riferimenti degli allegati, di tipo strutturato, e la loro relativa versione: catalogo-ssu_meta/proceeding/{proceeding_id}/{proceeding_version}/attachments. 
Ottenuti così i riferimenti dell’allegato che si vuole validare, è possibile recuperare il suo XSD e Schematron tramite i seguenti path:
•	catalogo-ssu_meta/attachment/{attachment_id}/{attachment_version}/xsd
•	catalogo-ssu_meta//attachment/{attachment_id}/{attachment_version}/schematron
Analogamente, in caso si volesse recuperare i validatori per i Form (moduli presentati per procedimento), è possibile ripetere gli step preliminari per ottenere i riferimenti del procedimento, proceeding_id e proceeding_version. Dopodiché, è necessario recuperare i riferimenti del form di proprio interesse, form_id (code) e form_version, utilizzando il path catalogo-ssu_meta/proceeding/{proceeding_id}/{proceeding_version}/form. I validatori possono essere così recuperati tramite i seguenti path:
•	catalogo-ssu_meta/form/{form_id}/{form_version}/xsd
•	catalogo-ssu_meta/form/{form_id}/{form_version}/schematron
In merito alla domanda riguardante l’implementazione di regole di caching locale, confermiamo che è possibile implementare tali logiche, suggeriamo inoltre di creare solamente il caching delle entità utilizzate.";n.a.
9;n.a.;"Approfondimento su tipologie documenti:
Nella documentazione fornita non siamo riusciti a trovare nelle interfacce, se sia disponibile un elenco delle tipologie di allegato per procedimento e se eventualmente esista un servizio per recuperare la relativa lista. Ad esempio, vorremmo capire come fare a distinguere i documenti della pratica suddivisi per tipologia (es. planimetria, doc di progetto, etc). Piuttosto eventuali documenti del procedimento. Es. integrazioni e pareri inviati da altri enti.
Vorremmo capire, inoltre, la differenza tra Attachments e Document; i documenti sono recuperati da BO SUAP utilizzando i dati contenuti nella send_instance (cui, resource_id).
Infine, vorremo avere dettagli sulla instance contenuta nell'instance_descriptor recuperata dal catalogo SSU, e capire, anche con qualche esempio, la differenza con l’instance inviata all'ente terzo dal BO.";"I documenti che sono nella disponibilità degli Enti Terzi sono indicati tramite i Form, ovvero i moduli e tramite Allegati, recuperabili tramite l’Instance Descriptor:
•	instance-descriptor-schema/usecase_proceedings/form 
•	instance-descriptor-schema/usecase_proceedings/attachments
Si evidenzia che tali documenti sono aggregati per singolo procedimento e che, attualmente, non è disponibile alcun metodo per recuperare la lista delle tipologie che identificano la natura di un documento (planimetria, doc di progetto, …). Tuttavia, recuperando tali oggetti, con la possibilità di filtrare solamente quelli di proprio interesse, è possibile analizzare l’attributo filename, che determina la semantica del documento, e description al fine di comprendere lo scopo di utilizzo di tale risorsa. Nelle prossime lavorazioni, è prevista una modifica che introdurrà nel descrittore anche i riferimenti univoci code e version, finalizzati al recupero dell'anagrafica presente nel Catalogo SSU.
Per quanto riguarda invece l’identificazione dei documenti scambiati durante le fasi del procedimento, come ad esempio le richieste di integrazione e i pareri inviati dagli Enti Terzi, questi saranno presenti nelle fasi di interazione tra Back-Office ed Ente Terzo. Durante questo scambio, ad esempio per il trasferimento dei pareri, tramite il path bo_to_et /send_conclusions, sarà possibile utilizzare i riferimenti trasmessi, cui e resource_id,  per poter richiedere successivamente il documento tramite il path et_to_bo/instance/{cui_uuid}/document/{resource_id}.
In merito ai pareri, si evidenzia che, a valle dell’invio di tutti i pareri degli Enti Terzi verso il Back-Office, quest’ultimo è incaricato di trasmettere ad ognuno di essi il parere conclusivo del procedimento, emesso dal SUAP, in funzione dei pareri pervenuti.
Per chiarire la differenza tra Attachments e Document, si precisa che, assunto il fatto che il Document è inteso come Form (moduli presentati per procedimento), considerato che tale riferimento è presente OpenAPI solamente nel path /instance/{cui_uuid}/document/{resource_id}, questo rappresenta il modulo digitale di uno specifico procedimento (vedi descrizione catalogo-ssu_meta//proceeding/{proceeding_id}/{proceeding_version}/form). Diversamente, gli Attachments rappresentano gli allegati associati ad un procedimento e sono consultabili tramite il path instance-descriptor-schema/usecase_proceedings/attachments.
Per concludere, in merito all’ultimo quesito, si vuole precisare che l’attributo instance, presente nell’Instance Descriptor, rappresenta la porzione di istanza relativa al procedimento, associata ad ogni specifica fattispecie (usecase_proceeding). Diversamente, l’instance inviata dal Back-Office all’Ente Terzo, tramite path et_to_bo/send_instance, riporta solo i riferimenti dell’istanza, ovvero:
•	cui e version, per permettere il recupero dell’Instance Descriptor
•	instance_index, contenente la mappatura dei riferimenti dei moduli e degli allegati con i relativi resource_id assegnati dal Back-Office:
o	instance-descriptor-schema/usecase_proceedings/instance/ref 
o	instance-descriptor-schema/usecase_proceedings/attachments/ref  ";n.a.
10;n.a.;"Ambienti di test o progetti di esempio:
Esistono ambienti di test per simulare un BO del SUAP ed il Catalogo SSU. E quindi progetti SoapUI, Postman o altro?
Di seguito alcuni esempi di chiamata che ci interesserebbe ricevere:
-	Esempio invio istanza Enti Terzi (send_instance)
-	Esempio instanceDescriptor (Catalago SSU); return GET /instance_descriptor/{cui_uuid} 
-	Esempio per il recupero degli Attachments contenuti nell'instanceDescriptor?";"Considerata la natura della domanda fuori dalle disponibilità di AgID non avendo attività di sviluppo, si riporta la risposta condivisa da InfoCamere:
Purtroppo, non c'è ancora un BackOffice SUAP da poter utilizzare. Entro ottobre dovrebbe esserci il Back Office del SUAP Camerale con il quale poter testare queste due integrazioni. 
Tuttavia, per rispondere al secondo punto, possiamo fornire degli esempi di CUI che possono essere utilizzati per i test:
•	78ee1b7d-0da6-4b31-80df-cfeddaa346c3
•	7a36d0f4-72c8-40f8-82be-86201e09def6

Per ogni approfondimento di merito si suggerisce di rivolgersi direttamente ai referenti di Infocamere.";n.a.
